사업자명,미래에셋증권,,,,,,,,,,,,,,,,,,,,,,,
제도유형,DC/IRP,,,,,,,,,,,,,,,,,,,,,,,
상품유형,실적배당형 상품(펀드/ETF),,,,,,,,,,,,,,,,,,,,,,,
기준일,"2025-12-01, 제로인",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
※ 1년 수익률 상위순으로 펀드/ETF를 배열하였습니다. 1년 이상 기간의 수익률은 연평균 수익률입니다. ,,,,,,,,,,,,,,,,,,,,,,,,
,,,"해당상품 수익률(%)(세전, 연)",,,,,,"참고지수 수익률(%)(세전, 연)",,,,,,,합성총보수 · 비용,,,,,,,,
펀드코드,펀드명,운용회사명,수익률(10Y),수익률(7Y),수익률(5Y),수익률(3Y),수익률(1Y),수익률(6M),BM수익률(10Y),BM수익률(7Y),BM수익률(5Y),BM수익률(3Y),BM수익률(1Y),BM수익률(6M),위험등급,비율(%),1년투자비용(원),순자산총액(억원),설정일,계열사 여부,비고,,,
K55105BQ9400,삼성KODEX모멘텀주증권상장지수투자신탁[주식],삼성운용,,15.36,15.41,31.78,80.84,41.92,,10.73,9.87,19.95,70.23,54.05,1등급(매우 높은 위험),0.35,"3,500",157,20170710,,ETF,,,
K55240E32568,BNKBNK미래전략기술액티브증권상장지수투자신탁(주식),BNK자산운용,,,,,80.82,58.62,,,,,70.23,54.05,2등급(높은 위험),0.60,"6,000",112,20230619,,ETF,,,
K55105DX9912,삼성KODEX아시아AI반도체exChina액티브증권상장지수투자신탁[주식],삼성운용,,,,,80.62,75.89,,,,,23.75,18.56,2등급(높은 위험),0.66,"6,600",138,20230130,,ETF,,,
K55223DX4944,KBRISE글로벌원자력iSelect증권상장지수투자신탁(주식),KB운용,,,,57.38,79.54,53.52,,,,17.15,15.26,14.13,2등급(높은 위험),0.49,"4,900","3,731",20220926,,ETF,,,
K55226BZ7845,HDC좋은지배구조증권투자신탁 1(주식)ClassC-Pe,HDC운용,,,12.81,21.18,79.32,55.77,,,9.87,19.95,70.23,54.05,2등급(높은 위험),1.25,"12,500",10,20171208,,,,,
K55301C21037,미래에셋TIGERMSCIKOREAESG리더스증권상장지수투자신탁(주식),미래에셋운용,,11.58,10.72,21.92,78.89,67.24,,7.74,10.21,14.66,44.94,30.34,2등급(높은 위험),0.46,"4,600",120,20180206,계열사,ETF,,,
K553H6E00495,더제이더행복코리아증권자투자신탁[주식]종류C-P2e,더제이운용,,,,,78.64,52.56,,,,,70.23,54.05,2등급(높은 위험),1.20,"12,000",112,20230125,,,,,
K55102C96528,하나IT코리아증권자투자신탁 1[주식]ClassC-P2E,하나운용,,,10.67,18.14,78.61,70.24,,,12.12,20.46,97.13,91.93,2등급(높은 위험),1.16,"11,600",165,20200214,,,,,
K55301C47545,미래에셋TIGERTOP10증권상장지수투자신탁(주식),미래에셋운용,,14.90,10.92,23.49,78.48,69.75,,11.20,9.09,19.07,78.47,64.76,2등급(높은 위험),0.19,"1,900","13,331",20180329,계열사,ETF,,,
K55301BW0049,미래에셋연금한국헬스케어증권자투자신탁 1(주식)종류C-P2e,미래에셋운용,,11.54,8.03,29.87,78.45,56.02,,5.01,0.15,22.61,38.76,30.25,1등급(매우 높은 위험),1.01,"10,100",350,20170913,계열사,,,,
K55301B47307,미래에셋연금한국헬스케어증권자투자신탁 1(주식)종류C-P2,미래에셋운용,8.31,11.07,7.57,29.32,77.73,55.71,5.30,4.97,0.10,22.50,38.76,30.25,1등급(매우 높은 위험),1.44,"14,400",61,20150720,계열사,,,,
K55301DZ0994,미래에셋TIGER한중반도체증권상장지수투자신탁(주식-파생형)(합성),미래에셋운용,,,,,77.60,66.50,,,,,70.23,54.05,2등급(높은 위험),0.40,"4,000",190,20221221,계열사,ETF,,,
K55206ED2215,키움KIWOOMK-반도체북미공급망증권상장지수투자신탁[주식],키움투자운용,,,,,77.32,63.95,,,,,70.23,54.05,2등급(높은 위험),0.92,"9,200",162,20240722,,ETF,,,
K55105DY8616,삼성KODEX한중반도체증권상장지수투자신탁[주식-파생형](합성),삼성운용,,,,,77.13,65.87,,,,,70.23,54.05,2등급(높은 위험),0.30,"3,000",154,20221220,,ETF,,,
K55223C37088,KBRISEESG사회책임투자증권상장지수투자신탁(주식),KB운용,,15.68,15.74,28.70,76.90,64.71,,10.73,9.87,19.95,70.23,54.05,2등급(높은 위험),0.33,"3,300",967,20180226,,ETF,,,
K55223EG1916,KB코리아밸류업액티브증권자투자신탁(주식)C-퇴직e,KB운용,,,,,76.82,54.92,,,,,70.23,54.05,2등급(높은 위험),1.12,"11,200",94,20241105,,,,,
K55213EF7411,한화PLUS글로벌방산증권상장지수투자신탁(주식),한화운용,,,,,76.50,8.14,,,,,15.26,14.13,2등급(높은 위험),0.58,"5,800",400,20241108,,ETF,,,
K55105BQ9418,삼성KODEX우량주증권상장지수투자신탁[주식],삼성운용,,9.56,8.52,23.60,76.49,64.46,,10.73,9.87,19.95,70.23,54.05,2등급(높은 위험),0.35,"3,500",201,20170710,,ETF,,,
KR5213185071,한화PLUS코스피50증권상장지수투자신탁(주식),한화운용,11.89,13.94,12.35,23.48,76.14,62.25,9.63,11.52,9.85,20.41,72.82,61.63,2등급(높은 위험),0.37,"3,700",353,20100106,,ETF,,,
K55365BT3694,KCGI코리아퇴직연금증권자투자신탁[주식]종류C-Pe2,KCGI운용,,16.56,17.17,30.42,75.98,39.91,,10.73,9.87,19.95,70.23,54.05,2등급(높은 위험),0.92,"9,200","1,399",20170807,,,,,
K55305BX1299,유경PSG좋은생각자산배분형증권투자신탁(주식혼합형)ClassC-Pe2,유경PSG운용,,12.66,10.86,23.07,75.67,48.00,,6.98,6.71,12.16,33.22,25.26,2등급(높은 위험),1.08,"10,800",30,20171211,,,,,
KR5365AW3635,KCGI코리아증권투자신탁 1[주식]종류C-P2,KCGI운용,,,16.98,30.33,75.46,39.88,,,9.87,19.95,70.23,54.05,2등급(높은 위험),1.30,"13,000",2,20200925,,,,,
K55223BU8734,KB퇴직연금증권자투자신탁(주식)C-E클래스,KB운용,,12.00,13.77,21.34,75.39,48.88,,10.73,9.87,19.95,70.23,54.05,2등급(높은 위험),0.79,"7,900",83,20171013,,,,,
K55365B47039,KCGI코리아퇴직연금증권자투자신탁[주식]종류C,KCGI운용,8.47,16.13,16.74,29.95,75.37,39.67,8.54,10.73,9.87,19.95,70.23,54.05,2등급(높은 위험),1.29,"12,900",546,20140821,,,,,
K55213DB6004,한화그린히어로증권자투자신탁(주식) C-RPe(퇴직연금),한화운용,,,18.48,25.24,75.33,56.51,,,10.88,17.18,15.27,14.52,1등급(매우 높은 위험),0.84,"8,400",345,20201023,,,,,
K55107DY2526,우리WON200증권상장지수투자신탁(주식),우리운용,,,,,75.00,55.64,,,,,70.23,54.05,2등급(높은 위험),0.06,600,614,20221215,,ETF,,,
K553N9EF9468,삼성액티브KoAct코리아밸류업액티브증권상장지수투자신탁[주식],삼성액티브자산운용,,,,,74.99,54.80,,,,,70.23,54.05,2등급(높은 위험),0.52,"5,200",553,20241101,,ETF,,,
